battery,drone_state_IDLE,drone_state_PROTECTING,drone_state_MOVING_TO_FIELD,drone_state_MOVING_TO_CHARGER,drone_state_CHARGING,drone_state_TERMINATED,charger_distance,accepted_drones_count,charger_capacity,neighbor_drones_average_battery,neighbor_drones,potential_drones,accepted_drones_missing_battery,charging_drones_count,charging_drones_missing_battery,potential_drones_with_lower_battery,waiting_drones_count,waiting_drones_with_lower_battery,time
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,84
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,83
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,82
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.25,0.0,0.0,81
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,12.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,80
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.0,0.0,11.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,79
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.0,0.3333333333333333,0.955,0.2,11.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,78
0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.08345080294715032,0.0,0.3333333333333333,0.96,0.3,10.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,77
0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.09658194978901713,0.0,0.3333333333333333,0.9499999999999998,0.3,10.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,76
0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.10996412841273438,0.0,0.3333333333333333,0.9524999999999999,0.4,10.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,75
0.96,0.0,0.0,1.0,0.0,0.0,0.0,0.12351577247500192,0.0,0.3333333333333333,0.9425,0.4,9.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,74
0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.13718667049907055,0.0,0.3333333333333333,0.9324999999999999,0.4,9.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,73
0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.15094442379612658,0.0,0.3333333333333333,0.9359999999999999,0.5,8.0,0.0,0.0,0.0,0.25,0.0,0.0,72
0.9299999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.1647672770536334,0.0,0.3333333333333333,0.9259999999999998,0.5,8.0,0.0,0.0,0.0,0.25,0.0,0.0,71
0.9199999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.17864011895482187,0.0,0.3333333333333333,0.916,0.5,6.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,70
0.9099999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.1925521451781751,0.0,0.3333333333333333,0.9059999999999999,0.5,6.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,69
0.8999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.2064954360881642,0.0,0.3333333333333333,0.8959999999999999,0.5,5.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,68
0.8899999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.22046405974163957,0.0,0.3333333333333333,0.8870000000000001,0.5,5.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,67
0.8799999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.2344534882450874,0.0,0.3333333333333333,0.8779999999999999,0.5,4.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,66
0.8699999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.2484602074031442,0.0,0.3333333333333333,0.8689999999999998,0.5,4.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,65
0.8599999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.26248144920229605,0.0,0.3333333333333333,0.861,0.5,4.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,64
0.8499999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.276515004453396,0.0,0.3333333333333333,0.8529999999999998,0.5,4.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,63
0.8399999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.2905590889997862,0.0,0.3333333333333333,0.845,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,62
0.8299999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8369999999999997,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,61
0.8249999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8299999999999998,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,60
0.8199999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8229999999999997,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,59
0.8149999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8169999999999998,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,58
0.8099999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8109999999999999,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,57
0.8049999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.8049999999999999,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,56
0.7999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.29832867780352595,0.0,0.3333333333333333,0.7989999999999997,0.5,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,55
