
0,5,1,0.01,0.005,Drone_1,<common.simulation.World object at 0x0000026F92C5D448>,16,51,1,0.8522034261706046,DroneState.MOVING_TO_FIELD,32,77,32,77,Charger_3,33,33
0,5,1,0.01,0.005,Drone_2,<common.simulation.World object at 0x0000026F92C5D448>,82,14,1,0.841729494196393,DroneState.MOVING_TO_FIELD,88,37,88,37,Charger_2,65,19
0,5,1,0.01,0.005,Drone_3,<common.simulation.World object at 0x0000026F92C5D448>,23,62,1,0.8434003622907027,DroneState.MOVING_TO_FIELD,22,77,22,77,Charger_1,45,77
0,5,1,0.01,0.005,Drone_4,<common.simulation.World object at 0x0000026F92C5D448>,25,93,1,0.80831477920675,DroneState.MOVING_TO_FIELD,37,77,37,77,Charger_1,45,77
0,5,1,0.01,0.005,Drone_5,<common.simulation.World object at 0x0000026F92C5D448>,36,38,1,0.8141225476026177,DroneState.MOVING_TO_FIELD,22,22,22,22,Charger_3,33,33
0,5,1,0.01,0.005,Drone_6,<common.simulation.World object at 0x0000026F92C5D448>,91,36,1,0.929620839612558,DroneState.MOVING_TO_FIELD,88,37,88,37,Charger_2,65,19
0,5,1,0.01,0.005,Drone_7,<common.simulation.World object at 0x0000026F92C5D448>,16,25,1,0.8592586047097297,DroneState.MOVING_TO_FIELD,42,17,42,17,Charger_3,33,33
0,1,Bird_1,<common.simulation.World object at 0x0000026F92C5D448>,64,99,BirdState.IDLE,None,None,0
0,1,Bird_2,<common.simulation.World object at 0x0000026F92C5D448>,59,59,BirdState.IDLE,None,None,0
0,1,Bird_3,<common.simulation.World object at 0x0000026F92C5D448>,74,77,BirdState.MOVING,26,74,FIELD_2,20,60,40,80,0
0,1,Bird_4,<common.simulation.World object at 0x0000026F92C5D448>,6,4,BirdState.IDLE,None,None,0
0,1,Bird_5,<common.simulation.World object at 0x0000026F92C5D448>,18,25,BirdState.IDLE,None,None,0
0,1,Bird_6,<common.simulation.World object at 0x0000026F92C5D448>,60,39,BirdState.IDLE,None,None,0
0,1,Bird_7,<common.simulation.World object at 0x0000026F92C5D448>,18,18,BirdState.IDLE,None,None,0
0,1,Bird_8,<common.simulation.World object at 0x0000026F92C5D448>,72,43,BirdState.IDLE,None,None,0
0,1,Bird_9,<common.simulation.World object at 0x0000026F92C5D448>,76,56,BirdState.IDLE,None,None,0
0,1,Bird_10,<common.simulation.World object at 0x0000026F92C5D448>,97,22,BirdState.IDLE,None,None,0
1,5,1,0.01,0.005,Drone_1,<common.simulation.World object at 0x0000026F92C5D448>,16,52,1,0.8422034261706046,DroneState.MOVING_TO_FIELD,32,77,32,67,Charger_3,33,33
1,5,1,0.01,0.005,Drone_2,<common.simulation.World object at 0x0000026F92C5D448>,82,15,1,0.831729494196393,DroneState.MOVING_TO_FIELD,88,37,83,37,Charger_2,65,19
