
0,5,1,0.01,0.005,Drone_1,<common.simulation.World object at 0x000001EA82478508>,43,20,1,0.93314488201059,DroneState.MOVING_TO_FIELD,12,17,12,17,Charger_1,22,33
0,5,1,0.01,0.005,Drone_2,<common.simulation.World object at 0x000001EA82478508>,35,16,1,0.8156937050268228,DroneState.MOVING_TO_FIELD,17,17,17,17,Charger_1,22,33
0,5,1,0.01,0.005,Drone_3,<common.simulation.World object at 0x000001EA82478508>,11,12,1,0.8573284633890699,DroneState.MOVING_TO_FIELD,12,12,12,12,Charger_1,22,33
0,1,Bird_1,<common.simulation.World object at 0x000001EA82478508>,11,1,BirdState.IDLE,None,None,0
0,1,Bird_2,<common.simulation.World object at 0x000001EA82478508>,43,15,BirdState.IDLE,None,None,0
0,1,Bird_3,<common.simulation.World object at 0x000001EA82478508>,24,12,BirdState.IDLE,None,None,0
0,1,Bird_4,<common.simulation.World object at 0x000001EA82478508>,44,34,BirdState.IDLE,None,None,0
0,1,Bird_5,<common.simulation.World object at 0x000001EA82478508>,43,49,BirdState.IDLE,None,None,0
0,1,Bird_6,<common.simulation.World object at 0x000001EA82478508>,43,4,BirdState.IDLE,None,None,0
0,1,Bird_7,<common.simulation.World object at 0x000001EA82478508>,41,13,BirdState.IDLE,None,None,0
0,1,Bird_8,<common.simulation.World object at 0x000001EA82478508>,31,39,BirdState.IDLE,None,None,0
0,1,Bird_9,<common.simulation.World object at 0x000001EA82478508>,49,6,BirdState.IDLE,None,None,0
0,1,Bird_10,<common.simulation.World object at 0x000001EA82478508>,16,42,BirdState.IDLE,None,None,0
1,5,1,0.01,0.005,Drone_1,<common.simulation.World object at 0x000001EA82478508>,41,19,1,0.92314488201059,DroneState.MOVING_TO_FIELD,12,17,17,12,Charger_1,22,33
1,5,1,0.01,0.005,Drone_2,<common.simulation.World object at 0x000001EA82478508>,33,16,1,0.8056937050268228,DroneState.MOVING_TO_FIELD,17,17,12,17,Charger_1,22,33
1,5,1,0.01,0.005,Drone_3,<common.simulation.World object at 0x000001EA82478508>,12,12,1,0.8473284633890699,DroneState.MOVING_TO_FIELD,12,12,12,12,Charger_1,22,33
